x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.3608,wesp,144.0040,40.0000,80.0000,300.0000,20.0000,0.0000
0.3656,wesp,143.9760,40.0000,80.0000,300.0000,20.0000,0.0000
0.3705,wesp,143.9479,40.0000,80.0000,300.0000,20.0000,0.0000
0.3754,wesp,143.9198,40.0000,80.0000,300.0000,20.0000,0.0000
0.3802,wesp,143.8918,40.0000,80.0000,300.0000,20.0000,0.0000
0.3851,wesp,143.8637,40.0000,80.0000,300.0000,20.0000,0.0000
0.3900,wesp,143.8356,40.0000,80.0000,300.0000,20.0000,0.0000
0.3949,wesp,143.8076,40.0000,80.0000,300.0000,20.0000,0.0000
0.3997,wesp,143.7796,40.0000,80.0000,300.0000,20.0000,0.0000
0.4046,wesp,143.7515,40.0000,80.0000,300.0000,20.0000,0.0000
0.4095,wesp,143.7235,40.0000,80.0000,300.0000,20.0000,0.0000
0.4144,wesp,143.6955,40.0000,80.0000,300.0000,20.0000,0.0000
0.4193,wesp,143.6675,40.0000,80.0000,300.0000,20.0000,0.0000
0.4241,wesp,143.6394,40.0000,80.0000,300.0000,20.0000,0.0000
0.4290,wesp,143.6114,40.0000,80.0000,300.0000,20.0000,0.0000
0.4339,wesp,143.5834,40.0000,80.0000,300.0000,20.0000,0.0000
0.4387,wesp,143.5554,40.0000,80.0000,300.0000,20.0000,0.0000
0.4436,wesp,143.5274,40.0000,80.0000,300.0000,20.0000,0.0000
0.4485,wesp,143.4995,40.0000,80.0000,300.0000,20.0000,0.0000
0.4534,wesp,143.4715,40.0000,80.0000,300.0000,20.0000,0.0000
0.4582,wesp,143.4435,40.0000,80.0000,300.0000,20.0000,0.0000
0.4631,wesp,143.4155,40.0000,80.0000,300.0000,20.0000,0.0000
0.4680,wesp,143.3876,40.0000,80.0000,300.0000,20.0000,0.0000
0.4729,wesp,143.3596,40.0000,80.0000,300.0000,20.0000,0.0000
0.4778,wesp,143.3317,40.0000,80.0000,300.0000,20.0000,0.0000
0.4826,wesp,143.3037,40.0000,80.0000,300.0000,20.0000,0.0000
0.4875,wesp,143.2758,40.0000,80.0000,300.0000,20.0000,0.0000
0.4924,wesp,143.2478,40.0000,80.0000,300.0000,20.0000,0.0000
0.4973,wesp,143.2199,40.0000,80.0000,300.0000,20.0000,0.0000
0.5021,wesp,143.1920,40.0000,80.0000,300.0000,20.0000,0.0000
0.5070,wesp,143.1641,40.0000,80.0000,300.0000,20.0000,0.0000
0.5119,wesp,143.1362,40.0000,80.0000,300.0000,20.0000,0.0000
0.5168,wesp,143.1082,40.0000,80.0000,300.0000,20.0000,0.0000
0.5216,wesp,143.0803,40.0000,80.0000,300.0000,20.0000,0.0000
0.5265,wesp,143.0524,40.0000,80.0000,300.0000,20.0000,0.0000
0.5314,wesp,143.0246,40.0000,80.0000,300.0000,20.0000,0.0000
0.5363,wesp,142.9967,40.0000,80.0000,300.0000,20.0000,0.0000
0.5411,wesp,142.9688,40.0000,80.0000,300.0000,20.0000,0.0000
0.5460,wesp,142.9409,40.0000,80.0000,300.0000,20.0000,0.0000
0.5509,wesp,142.9130,40.0000,80.0000,300.0000,20.0000,0.0000
0.5557,wesp,142.8852,40.0000,80.0000,300.0000,20.0000,0.0000
0.5606,wesp,142.8573,40.0000,80.0000,300.0000,20.0000,0.0000
0.5655,wesp,142.8295,40.0000,80.0000,300.0000,20.0000,0.0000
0.5704,wesp,142.8016,40.0000,80.0000,300.0000,20.0000,0.0000
0.5753,wesp,142.7738,40.0000,80.0000,300.0000,20.0000,0.0000
0.5801,wesp,142.7459,40.0000,80.0000,300.0000,20.0000,0.0000
0.5850,wesp,142.7181,40.0000,80.0000,300.0000,20.0000,0.0000
0.5899,wesp,142.6903,40.0000,80.0000,300.0000,20.0000,0.0000
0.5948,wesp,142.6624,40.0000,80.0000,300.0000,20.0000,0.0000
0.5996,wesp,142.6346,40.0000,80.0000,300.0000,20.0000,0.0000
0.6045,wesp,142.6068,40.0000,80.0000,300.0000,20.0000,0.0000
0.6094,wesp,142.5790,40.0000,80.0000,300.0000,20.0000,0.0000
0.6142,wesp,142.5512,40.0000,80.0000,300.0000,20.0000,0.0000
0.6191,wesp,142.5234,40.0000,80.0000,300.0000,20.0000,0.0000
0.6240,wesp,142.4956,40.0000,80.0000,300.0000,20.0000,0.0000
0.6289,wesp,142.4678,40.0000,80.0000,300.0000,20.0000,0.0000
0.6338,wesp,142.4401,40.0000,80.0000,300.0000,20.0000,0.0000
0.6386,wesp,142.4123,40.0000,80.0000,300.0000,20.0000,0.0000
0.6435,wesp,142.3845,40.0000,80.0000,300.0000,20.0000,0.0000
0.6484,wesp,142.3568,40.0000,80.0000,300.0000,20.0000,0.0000
0.6532,wesp,142.3290,40.0000,80.0000,300.0000,20.0000,0.0000
