x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
0.9116,wesp,23.9065,40.0000,70.0552,300.0000,20.0000,0.0000
0.9165,wesp,23.5899,40.0000,69.9863,300.0000,20.0000,0.0000
0.9214,wesp,23.2774,40.0000,69.9176,300.0000,20.0000,0.0000
0.9263,wesp,22.9691,40.0000,69.8488,300.0000,20.0000,0.0000
0.9311,wesp,22.6649,40.0000,69.7802,300.0000,20.0000,0.0000
0.9360,wesp,22.3647,40.0000,69.7116,300.0000,20.0000,0.0000
0.9409,wesp,22.0685,40.0000,69.6431,300.0000,20.0000,0.0000
0.9457,wesp,21.7762,40.0000,69.5747,300.0000,20.0000,0.0000
0.9506,wesp,21.4878,40.0000,69.5063,300.0000,20.0000,0.0000
0.9555,wesp,21.2032,40.0000,69.4380,300.0000,20.0000,0.0000
0.9604,wesp,20.9224,40.0000,69.3697,300.0000,20.0000,0.0000
0.9653,wesp,20.6453,40.0000,69.3016,300.0000,20.0000,0.0000
0.9701,wesp,20.3718,40.0000,69.2334,300.0000,20.0000,0.0000
0.9750,wesp,20.1020,40.0000,69.1654,300.0000,20.0000,0.0000
0.9799,wesp,19.8358,40.0000,69.0974,300.0000,20.0000,0.0000
0.9848,wesp,19.5731,40.0000,69.0295,300.0000,20.0000,0.0000
0.9896,wesp,19.3138,40.0000,68.9617,300.0000,20.0000,0.0000
0.9945,wesp,19.0580,40.0000,68.8939,300.0000,20.0000,0.0000
0.9994,wesp,18.8056,40.0000,68.8262,300.0000,20.0000,0.0000
1.0043,wesp,18.5565,40.0000,68.7585,300.0000,20.0000,0.0000
1.0091,wesp,18.3107,40.0000,68.6910,300.0000,20.0000,0.0000
1.0140,wesp,18.0682,40.0000,68.6235,300.0000,20.0000,0.0000
1.0189,wesp,17.8289,40.0000,68.5560,300.0000,20.0000,0.0000
1.0237,wesp,17.5928,40.0000,68.4886,300.0000,20.0000,0.0000
1.0286,wesp,17.3598,40.0000,68.4213,300.0000,20.0000,0.0000
1.0335,wesp,17.1298,40.0000,68.3541,300.0000,20.0000,0.0000
1.0384,wesp,16.9030,40.0000,68.2869,300.0000,20.0000,0.0000
1.0433,wesp,16.6791,40.0000,68.2198,300.0000,20.0000,0.0000
1.0481,wesp,16.4582,40.0000,68.1527,300.0000,20.0000,0.0000
1.0530,wesp,16.2402,40.0000,68.0858,300.0000,20.0000,0.0000
1.0579,wesp,16.0251,40.0000,68.0189,300.0000,20.0000,0.0000
1.0628,wesp,15.8128,40.0000,67.9520,300.0000,20.0000,0.0000
1.0676,wesp,15.6034,40.0000,67.8852,300.0000,20.0000,0.0000
1.0725,wesp,15.3967,40.0000,67.8185,300.0000,20.0000,0.0000
1.0774,wesp,15.1928,40.0000,67.7518,300.0000,20.0000,0.0000
1.0822,wesp,14.9916,40.0000,67.6853,300.0000,20.0000,0.0000
1.0871,wesp,14.7930,40.0000,67.6187,300.0000,20.0000,0.0000
1.0920,wesp,14.5971,40.0000,67.5523,300.0000,20.0000,0.0000
1.0969,wesp,14.4038,40.0000,67.4859,300.0000,20.0000,0.0000
1.1018,wesp,14.2130,40.0000,67.4196,300.0000,20.0000,0.0000
1.1066,wesp,14.0248,40.0000,67.3533,300.0000,20.0000,0.0000
1.1115,wesp,13.8390,40.0000,67.2871,300.0000,20.0000,0.0000
1.1164,wesp,13.6557,40.0000,67.2210,300.0000,20.0000,0.0000
1.1213,wesp,13.4748,40.0000,67.1549,300.0000,20.0000,0.0000
1.1261,wesp,13.2964,40.0000,67.0889,300.0000,20.0000,0.0000
