x_m,stage,pm25_ugm3,no_ppb,no2_ppb,voc_ppb,o3_ppb,oh_ppt
1.4820,plasma,13.4817,19.0410,87.7189,238.0474,1547.0217,95.1299
1.4869,plasma,13.4817,18.8164,87.9435,237.2391,1569.4659,95.1301
1.4917,plasma,13.4817,18.5939,88.1660,236.4334,1591.9100,95.1302
1.4966,plasma,13.4817,18.3736,88.3863,235.6305,1614.3540,95.1303
1.5015,plasma,13.4817,18.1554,88.6045,234.8304,1636.7979,95.1304
1.5064,plasma,13.4817,17.9392,88.8207,234.0329,1659.2418,95.1305
1.5112,plasma,13.4817,17.7252,89.0347,233.2382,1681.6856,95.1306
1.5161,plasma,13.4817,17.5132,89.2467,232.4461,1704.1293,95.1307
1.5210,plasma,13.4817,17.3033,89.4566,231.6568,1726.5730,95.1308
1.5259,plasma,13.4817,17.0954,89.6645,230.8701,1749.0167,95.1309
1.5308,plasma,13.4817,16.8895,89.8704,230.0861,1771.4603,95.1310
1.5356,plasma,13.4817,16.6857,90.0742,229.3047,1793.9039,95.1312
1.5405,plasma,13.4817,16.4839,90.2760,228.5260,1816.3475,95.1313
1.5454,plasma,13.4817,16.2841,90.4758,227.7500,1838.7911,95.1314
1.5502,plasma,13.4817,16.0862,90.6737,226.9766,1861.2346,95.1315
1.5551,plasma,13.4817,15.8903,90.8696,226.2058,1883.6782,95.1316
1.5600,plasma,13.4817,15.6964,91.0635,225.4376,1906.1217,95.1317
